2458318.611481	273.062205	-15.204692
2458318.615069	273.060045	-15.207186
2458318.628333	273.050958	-15.203397
2458318.630752	273.049455	-15.217278
2458318.638438	273.045345	-15.220786
2458318.644016	273.041835	-15.224583
2458320.617060	271.906755	-16.342956
2458320.629000	271.908045	-16.341075
2458321.711146	271.295835	-16.952889
2458321.724410	271.288005	-16.960417
2458321.732350	271.283667	-16.964778
2458323.939028	270.098683	-18.167397
2458323.941678	270.097245	-18.168828
2458323.952616	270.092458	-18.173417
2458323.974514	270.080505	-18.186472
2458323.966181	270.089450	-18.176403
2458326.246435	268.716790	-19.616666
2458326.679838	268.716417	-19.616944
2458329.042917	267.614742	-20.810600
2458329.059572	267.606691	-20.818869
2458332.555243	266.189425	-22.507581
2458332.561748	266.137095	-22.507433
2458332.567535	266.135100	-22.509272
2458332.571169	266.132575	-22.510661
2458332.574884	266.132654	-22.510661
2458333.139019	265.909604	-22.770333
2458333.139000	265.908121	-22.774228
2458333.147650	265.906492	-22.775256
2458333.150058	265.905608	-22.775256
